,code,name
0,1002,"Government College of Engineering, Amravati"
1,1005,"Sant Gadge Baba Amravati University,Amravati"
2,1012,"Government College of Engineering,Yavatmal"
3,1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
4,1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati"
5,1107,"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati"
6,1114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati"
7,1116,"Shri Shivaji Education Society's College of Engineering and Technology, Akola"
8,1117,"Janata Shikshan Prasarak Mandals Babasaheb Naik College Of Engineering, Pusad"
9,1119,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali"
10,1120,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal"
11,1121,"Shri Hanuman Vyayam  Prasarak Mandals College of Engineering & Technology, Amravati"
12,1123,"Dr.Rajendra Gode Institute of Technology & Research, Amravati"
13,1125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu College of Engineering, Buldhana"
14,1126,"Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati"
15,1127,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal"
16,1128,"Prof Ram Meghe College of Engineering  and Management, Badnera"
17,1130,"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon"
18,1180,"Sanmati Engineering College, Sawargaon Barde, Washim"
19,1182,"Padmashri Dr. V.B.  Kolte College of Engineering, Malkapur, Buldhana"
20,1265,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon."
21,1268,"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile"
22,1276,"Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola,  444302"
23,2008,"Government College of Engineering,  Aurangabad"
24,2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded"
25,2021,"University Department of Chemical Technology, Aurangabad"
26,2032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna"
27,2111,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar"
28,2112,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad"
29,2113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad"
30,2114,"Deogiri Institute of Engineering and Management Studies, Aurangabad"
31,2116,"Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi , Nanded"
32,2127,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded."
33,2129,"M.S. Bidve Engineering College, Latur"
34,2130,"Terna Public Charitable Trust's College of Engineering, Osmanabad"
35,2131,"Shree Tuljabhavani College of Engineering, Tuljapur"
36,2133,"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai"
37,2134,"Peoples Education Society's College of Engineering, Aurangabad"
38,2135,"Hi-Tech Institute of Technology, Aurangabad"
39,2136,"Aditya Engineering College , Beed"
40,2137,"Nagnathappa Halge Engineering  College, Parli, Beed"
41,2138,"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna"
42,2146,"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad"
43,2250,"Aurangabad College of Engineering,  Naygaon Savangi, Aurangabad"
44,2252,"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani"
45,2254,"Vilasrao Deshmukh Foundation Group of Institutions, Latur"
46,2282,"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed"
47,2508,GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED.
48,2516,International Centre Of Excellence In Engineering  and Management (ICEEM)
49,2522,"STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur."
50,2533,"CSMSS Chh. Shahu College of Engineering, Aurangabad"
51,2641,Dr. V.K. Patil College of Engineering & Technology
52,3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai"
53,3014,"Sardar Patel College of Engineering, Andheri"
54,3033,"Dr. Babasaheb Ambedkar Technological University, Lonere"
55,3035,"Usha Mittal Institute of Technology SNDT  Women's University, Mumbai"
56,3036,"Institute of Chemical Technology, Matunga, Mumbai"
57,3042,"Government College of Engineering, Ratnagiri"
58,3135,"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai"
59,3139,"Vidyalankar Institute of Technology,Wadala, Mumbai"
60,3146,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai"
61,3147,"Saraswati Education Society, Yadavrao Tasgaonkar  Institute of Engineering & Technology, Karjat"
62,3148,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai"
63,3154,"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai"
64,3175,"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai"
